antecedents,consequents,antecedent support,consequent support,support,confidence,lift
frozenset({'other vegetables'}),['yogurt'],0.28486570247933884,0.036415289256198344,0.013171487603305785,0.04623753399818676,1.2697285931984337
"frozenset({'brown bread', 'whole milk'})",frozenset({'bottled water'}),0.04183884297520661,0.15986570247933884,0.013171487603305785,0.3148148148148148,1.9692454975169031
"frozenset({'whole milk', 'yogurt'})",frozenset({'coffee'}),0.08729338842975207,0.08884297520661157,0.01084710743801653,0.1242603550295858,1.3986514380074309
frozenset({'yogurt'}),frozenset({'beverages'}),0.20583677685950413,0.04390495867768595,0.011105371900826446,0.053952321204516936,1.2288434570817035
"frozenset({'whole milk', 'soda'})",frozenset({'pip fruit'}),0.09039256198347108,0.12035123966942149,0.014721074380165289,0.16285714285714284,1.3531820968730839
"frozenset({'whole milk', 'domestic eggs'})",frozenset({'yogurt'}),0.04132231404958678,0.20583677685950413,0.010072314049586776,0.24374999999999997,1.184190715181932
frozenset({'soda'}),['domestic eggs'],0.2350206611570248,0.04132231404958678,0.011363636363636364,0.04835164835164835,1.17010989010989
"frozenset({'pastry', 'citrus fruit'})",frozenset({'whole milk'}),0.018336776859504134,0.34736570247933884,0.010072314049586776,0.5492957746478873,1.5813183936331743
frozenset({'soda'}),frozenset({'fruit/vegetable juice'}),0.2350206611570248,0.09013429752066116,0.02453512396694215,0.1043956043956044,1.1582228659592557
frozenset({'soda'}),['yogurt'],0.2350206611570248,0.035640495867768594,0.011363636363636364,0.04835164835164835,1.356649147953496
frozenset({'other vegetables'}),frozenset({'hard cheese'}),0.28486570247933884,0.036415289256198344,0.013946280991735538,0.04895738893925657,1.3444185104454005
"frozenset({'yogurt', 'soda'})",frozenset({'tropical fruit'}),0.05630165289256198,0.1621900826446281,0.010072314049586776,0.17889908256880732,1.1030210950739203
frozenset({'bottled water'}),['whole milk'],0.15986570247933884,0.05010330578512397,0.010588842975206611,0.06623586429725363,1.3219859100977631
frozenset({'root vegetables'}),frozenset({'pip fruit'}),0.16942148760330578,0.12035123966942149,0.021177685950413222,0.125,1.03862660944206
frozenset({'candy'}),frozenset({'yogurt'}),0.03615702479338843,0.20583677685950413,0.010072314049586776,0.2785714285714286,1.3533608173507798
"frozenset({'root vegetables', 'rolls/buns'})",frozenset({'soda'}),0.051394628099173556,0.2350206611570248,0.014204545454545454,0.27638190954773867,1.175989839306422
frozenset({'dessert'}),frozenset({'rolls/buns'}),0.061466942148760334,0.2631714876033058,0.017820247933884297,0.2899159663865546,1.101623770214661
frozenset({'butter'}),frozenset({'soda'}),0.09400826446280992,0.2350206611570248,0.02556818181818182,0.27197802197802196,1.1572515396691219
frozenset({'domestic eggs'}),frozenset({'citrus fruit'}),0.09788223140495868,0.1337809917355372,0.014462809917355372,0.14775725593667546,1.1044712258432574
frozenset({'soda'}),frozenset({'sliced cheese'}),0.2350206611570248,0.03589876033057851,0.011880165289256199,0.05054945054945055,1.4081113131472844
frozenset({'pip fruit'}),frozenset({'butter'}),0.12035123966942149,0.09400826446280992,0.011363636363636364,0.0944206008583691,1.004386171768146
frozenset({'bottled water'}),['whole milk'],0.15986570247933884,0.11234504132231404,0.02763429752066116,0.172859450726979,1.5386478004939372
frozenset({'rolls/buns'}),['whole milk'],0.2631714876033058,0.05010330578512397,0.01652892561983471,0.06280667320902847,1.2535434982750424
frozenset({'whole milk'}),['citrus fruit'],0.34736570247933884,0.027892561983471075,0.013429752066115703,0.038661710037174724,1.3860939005920418
frozenset({'citrus fruit'}),['whole milk'],0.1337809917355372,0.05010330578512397,0.010072314049586776,0.07528957528957528,1.5026867810372964
frozenset({'hamburger meat'}),frozenset({'tropical fruit'}),0.05785123966942149,0.1621900826446281,0.010072314049586776,0.17410714285714285,1.0734758871701546
"frozenset({'brown bread', 'soda'})",frozenset({'whole milk'}),0.028409090909090908,0.34736570247933884,0.014204545454545454,0.5,1.4394052044609664
"frozenset({'butter', 'other vegetables'})",frozenset({'whole milk'}),0.03202479338842975,0.34736570247933884,0.013429752066115703,0.4193548387096775,1.207243074709198
frozenset({'citrus fruit'}),['other vegetables'],0.1337809917355372,0.06611570247933884,0.011105371900826446,0.083011583011583,1.2555501930501929
frozenset({'whole milk'}),frozenset({'UHT-milk'}),0.34736570247933884,0.05268595041322314,0.022727272727272728,0.0654275092936803,1.241839784240834
frozenset({'yogurt'}),['whole milk'],0.20583677685950413,0.030991735537190084,0.01084710743801653,0.05269761606022585,1.7003764115432873
frozenset({'meat'}),frozenset({'yogurt'}),0.04726239669421488,0.20583677685950413,0.010072314049586776,0.21311475409836064,1.0353580023448588
"frozenset({'sausage', 'other vegetables'})",frozenset({'whole milk'}),0.05371900826446281,0.34736570247933884,0.024018595041322314,0.4471153846153846,1.2871604232199028
"frozenset({'tropical fruit', 'brown bread'})",frozenset({'whole milk'}),0.019369834710743803,0.34736570247933884,0.010072314049586776,0.5199999999999999,1.496981412639405
frozenset({'other vegetables'}),['rolls/buns'],0.28486570247933884,0.10614669421487603,0.03744834710743802,0.1314596554850408,1.238471498876102
